fight_id,fighter_id,fight_date,opponent,result,DECISION,round_finished,finish_time,event,created_at
42,3,2025-04-27,"David Onama",Loss,"Decision - Unanimous",3,5:00,"UFC Fight Night: Machado Garry vs. Prates","2025-08-19 11:23:16"
43,3,2024-07-28,"Arnold Allen",Loss,"Decision - Unanimous",3,5:00,"UFC 304: Edwards vs. Muhammad 2","2025-08-19 11:23:16"
44,3,2023-08-26,"Alex Caceres",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Holloway vs. The Korean Zombie","2025-08-19 11:23:16"
45,3,2022-01-16,"Calvin Kattar",Loss,"Decision - Unanimous",5,5:00,"UFC Fight Night: Kattar vs. Chikadze","2025-08-19 11:23:16"
46,3,2021-08-29,"Edson Barboza",Win,KO/TKO,3,1:44,"UFC Fight Night: Barboza vs. Chikadze","2025-08-19 11:23:16"
47,3,2021-05-02,"Cub Swanson",Win,KO/TKO,1,1:03,"UFC Fight Night: Reyes vs. Prochazka","2025-08-19 11:23:16"
48,3,2020-11-08,"Jamey Simmons",Win,KO/TKO,1,3:51,"UFC Fight Night: Santos vs. Teixeira","2025-08-19 11:23:16"
49,3,2020-10-11,"Omar Morales",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Moraes vs. Sandhagen","2025-08-19 11:23:16"
50,3,2020-05-17,"Irwin Rivera",Win,"Decision - Unanimous",3,5:00,"UFC Fight Night: Overeem vs. Harris","2025-08-19 11:23:16"
51,3,2020-03-08,"Jamall Emmers",Win,"Decision - Split",3,5:00,"UFC 248: Adesanya vs. Romero","2025-08-19 11:23:16"
52,3,2019-09-28,"Brandon Davis",Win,"Decision - Split",3,5:00,"UFC Fight Night: Hermansson vs. Cannonier","2025-08-19 11:23:16"
53,3,2019-03-24,"Damien Manzanares",Win,KO/TKO,1,0:51,"Gladiator Challenge: MMA World Championships","2025-08-19 11:23:16"
54,3,2018-08-12,"C.J. Baines",Win,"Submission (Armbar)",1,0:12,"Gladiator Challenge: Summer Showdown","2025-08-19 11:23:16"
55,3,2018-06-20,"Austin Springer",Loss,Submission,3,4:10,"Dana White's Contender Series: Season 2, Week 2","2025-08-19 11:23:16"
56,3,2018-04-21,"Kevin Ceron",Win,"TKO (Punches)",1,2:37,"Gladiator Challenge: MMA Fighting Championship","2025-08-19 11:23:16"
57,3,2017-12-16,"Kevin Gratts",Win,"KO (Punch)",1,1:17,"Gladiator Challenge: Season's Beatings","2025-08-19 11:23:16"
58,3,2017-06-10,"Julian Hernandez",Win,"TKO (Punches)",1,0:49,"Gladiator Challenge: Summer Feud","2025-08-19 11:23:16"
59,3,2017-03-25,"Anthony Ross",Win,TKO,1,0:10,"Gladiator Challenge: Absolute Beatdown","2025-08-19 11:23:16"
60,3,2016-12-17,"Joe Bear",Win,"TKO (Retirement)",1,1:50,"Gladiator Challenge: Season's Beatings","2025-08-19 11:23:16"
61,3,2015-12-18,"Gil Guardado",Loss,"Decision - Unanimous",3,5:00,"WSOF 26: Palmer vs. Almeida","2025-08-19 11:23:16"
